frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,12,1.2893358045554,0,-6.06584804733998,1.31104579332352,6.45520535596315e-10,-6.16798711687014,0.5,0,-0.6,0.467554135259207,-4.82548468707922e-09,-0.539523373727511,1.7893358045554,0,-6.66584804733998,1.77859992858273,-4.1799641514829e-09,-6.70751049059765,6.20136270107843,6.30578354735297,0.104420846275055,0.0686305796571771,0.0430234611706153,153.579425437459,153.731406625414,4.14448904088367e-13,0,0
2,17,1.84090795109091,0,-8.66079097548057,1.84049112790181,1.36261685638153e-09,-8.65884120192602,0.5,0,-0.6,0.504270075434705,8.80676085412449e-08,-0.574865593079383,2.34090795109091,0,-9.26079097548057,2.34476120333652,8.94302253976264e-08,-9.2337067950054,8.85427819787448,8.85228436913641,0.00199383010434415,0.025494547563685,0.027356907443784,150.81130945873,150.999083779971,1.00000079632776e-08,0,0
3,21,2.23572160713182,0,-10.5182431893239,2.23801879613219,-5.08430468346219e-10,-10.5290551180031,0.5,0,-0.6,0.500060767784054,-3.33186815149831e-09,-0.573734203496061,2.73572160713182,0,-11.1182431893239,2.73807956391624,-3.84029861984452e-09,-11.1027893214992,10.7532269991085,10.7642802736546,0.0110532745857376,0.0262658667991353,0.0156327218020873,148.739830622721,148.866146867776,1.00003699878234e-08,0,0
