frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,18,1.10372743949012,0,-3.67909146496708,1.20276338394944,2.5056355274793e-08,-4.00924577115805,1,0,-1,0.871674406273881,9.92782089471529e-07,-0.797316963839354,2.10372743949012,0,-4.67909146496708,2.07443779022332,1.01783844474632e-06,-4.8065627349974,3.84108425685731,4.18577249875315,0.344688242026598,0.239891373653669,0.130792997665592,160.055812176822,160.188494309402,9.94326434583359e-09,0,0
2,20,1.46011402851534,0,-4.8670467617178,1.4798504516543,4.15025494616474e-11,-4.93292599108939,1,0,-1,0.981408130638571,6.46430212621644e-11,-0.915705757447825,2.46011402851534,0,-5.8670467617178,2.46125858229287,1.06145570723812e-10,-5.84863174853722,5.08134599855344,5.15011807561989,0.068772081987637,0.0863202000333484,0.0184505477910783,158.552270480637,159.066025690141,1.10296999665496e-11,0,0
3,22,1.79329602038525,0,-5.97765340128416,1.80635378359646,5.62288073095944e-10,-6.02126504830728,1,0,-1,0.992329981876359,1.18436582767177e-08,-0.924981879927219,2.79329602038525,0,-6.97765340128416,2.79868376547282,1.24059463498136e-08,-6.9462469282345,6.24085337134383,6.28637787390164,0.0455245091807662,0.0754092004815815,0.0318652529653822,157.12681325616,157.591472960715,9.99946499528509e-09,0,0
