frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,10,0,0,0,0,0,0,1,0,-1,0.999999990874282,-3.9243347985766e-19,-0.999999986138705,1,0,-1,0.999999990874282,-3.9243347985766e-19,-0.999999986138705,0,0,0,1.65956087992451e-08,1.65956087992451e-08,NaN,165.000000034816,0,0,0
2,16,0,0,-4.02767006023625,-4.75703184294427e-07,0,-4.02767025616024,1,0,-1,1.00000042653891,0,-0.99999989041828,1,0,-5.02767006023625,0.999999950835728,0,-5.02767014657852,4.02767006023625,4.02767025616026,5.14470336305315e-07,4.40390278238617e-07,9.93585033231691e-08,161.560998556345,161.561001995485,8.65373715051619e-14,0,8.5265128291212e-14
3,20,0,0,-7.87692854905783,-8.21926595302557e-07,0,-7.87692855457859,1,0,-1,1.00000076710634,0,-0.999999992907667,1,0,-8.87692854905783,0.999999945179747,0,-8.87692854748625,7.87692854905783,7.87692855457863,8.21945136116955e-07,7.67139128292049e-07,5.48427749771956e-08,158.364628852014,158.36463190581,1.50237832717123e-15,0,8.5265128291212e-14
