frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,10,0,0,0,0,0,0,1,0,-1,0.999921650536168,-5.41716734935913e-10,-0.999172111654387,1,0,-1,0.999921650536168,-5.41716734935913e-10,-0.999172111654387,0,0,0,0.000831587488653361,0.000831587488653361,NaN,165.000000397748,0,0,0
2,16,0,0,-4.02767006023625,-2.5774838538456e-05,4.7134454947557e-12,-3.99506431273355,1,0,-1,1.00804243161812,-9.52372722042827e-11,-0.969957332951592,1,0,-5.02767006023625,1.00801665677959,-9.0523826709527e-11,-4.96502164568515,4.02767006023625,3.9950643128167,0.0326057576901996,0.0311005233028916,0.0631592481881226,161.560998556345,162.161207437389,1.15189188641548e-11,0,8.5265128291212e-14
3,20,0,0,-7.87692854905783,-1.39457967305513e-05,-4.17509976233123e-09,-7.87190791341805,1,0,-1,1.00840984679214,9.53914306278546e-09,-0.958299599244031,1,0,-8.87692854905783,1.00839590099541,5.36404330045423e-09,-8.83020751266208,7.87692854905783,7.8719079134304,0.00502065500833321,0.0425399688090605,0.0474694259014982,158.364628852014,158.686676895982,1.00003533083658e-08,0,8.5265128291212e-14
