frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,12,0,0,0,0,0,0,-0.4,0,0.4,-0.399992764908136,1.38365045024534e-07,0.399900545149423,-0.4,0,0.4,-0.399992764908136,1.38365045024534e-07,0.399900545149423,0,0,0,9.97177667338695e-05,9.97177667338695e-05,NaN,198.000000113193,0,0,0
2,20,-2.83423211420362e-16,0,2.31432615197861,1.52756697926741e-05,-8.5819748539778e-10,2.29619038416602,-0.4,0,0.4,-0.405537670701489,-4.47224711406666e-09,0.37742251994636,-0.4,0,2.71432615197861,-0.405522395031697,-5.33044459946444e-09,2.67361290411238,2.31432615197861,2.29619038421683,0.018135774245907,0.0232466858362789,0.0410860730504111,193.18644738629,194.054773200765,4.29105943150139e-12,0,0
3,26,-5.30498633016884e-16,0,4.33185007617084,7.94544645181329e-06,7.48845752281842e-10,4.34246585283977,-0.4,0,0.4,-0.404312536503931,-8.35930688309303e-09,0.366224202321912,-0.400000000000001,0,4.73185007617084,-0.404304591057479,-7.61046113081118e-09,4.70869005516168,4.33185007617084,4.34246585284704,0.0106157796423369,0.0340499997046832,0.0235566567516907,188.548414243443,189.012342517944,9.99942902868574e-09,0,0
