frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,12,-0.978820154517849,0,-5.993544845856e-17,-0.978822460791248,1.17725191390231e-18,-2.61413609652369e-08,-0.6,0,-0.4,-0.599998970920222,1.09977656034293e-18,-0.399999806979306,-1.57882015451785,0,-0.4,-1.57882143171147,2.27702847424524e-18,-0.399999833120667,0.978820154517849,0.978822460791249,2.30642154980879e-06,1.04702539524787e-06,1.28804978894939e-06,165.125213594262,165.125212185462,9.99995838263607e-09,0,0
2,17,-6.77900679826268,0,-4.15094448844527e-16,-6.77900596209642,0,1.085100186639e-06,-0.6,0,-0.4,-0.600000302611151,0,-0.400001127729947,-7.37900679826268,0,-0.4,-7.37900626470757,0,-0.40000004262976,6.77900679826268,6.7790059620965,1.3698965028304e-06,1.16762508596264e-06,5.35255405671501e-07,160.646654718448,160.646659411941,8.65701168416561e-14,0,0
3,21,-10.2593359656953,0,-6.28203147588304e-16,-10.2593363183023,-1.16344433956296e-23,7.05382069555562e-07,-0.6,0,-0.4,-0.599999841739577,0,-0.400000602971919,-10.8593359656953,0,-0.400000000000001,-10.8593361600419,-1.16344433956296e-23,-0.399999897589849,10.2593359656953,10.2593363183023,7.88603535401885e-07,6.23395136405392e-07,2.19677984798225e-07,157.536008786306,157.536010784884,7.1978877834321e-13,0,5.6843418860808e-14
