frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,12,0,0,0,0,0,0,-0.4,0,0.4,-0.400000002904408,1.10999145161314e-19,0.399999996090521,-0.4,0,0.4,-0.400000002904408,1.10999145161314e-19,0.399999996090521,0,0,0,4.87027827259738e-09,4.87027827259738e-09,NaN,197.999999999374,0,0,0
2,20,-2.83423211420362e-16,0,2.31432615197861,2.72862674309121e-07,0,2.3143257761745,-0.4,0,0.4,-0.400000302413678,0,0.400000148943048,-0.4,0,2.71432615197861,-0.400000029551003,0,2.71432592511755,2.31432615197861,2.31432577617452,4.64416587756691e-07,3.37102453194547e-07,2.28777626976749e-07,193.18644738629,193.186451524868,8.77268427223983e-14,0,0
3,26,-5.30498633016884e-16,0,4.33185007617084,4.0241502092624e-07,0,4.33185087223942,-0.4,0,0.4,-0.400000264670797,0,0.399999633035241,-0.400000000000001,0,4.73185007617084,-0.399999862255776,0,4.73185050527467,4.33185007617084,4.33185087223944,8.91999462185711e-07,4.52453053232458e-07,4.50670127117423e-07,188.548414243443,188.54841751325,3.58812557676344e-13,0,0
