frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,18,1.10372743949012,0,-3.67909146496708,1.10373286683318,5.43029753830543e-09,-3.67910807290269,1,0,-1,0.999993046029742,-6.78276520641402e-09,-0.999990355895849,2.10372743949012,0,-4.67909146496708,2.10372591286292,-1.3524676681086e-09,-4.67909842879854,3.84108425685731,3.84110172391015,1.74722524942458e-05,1.18897642210201e-05,7.12920338936962e-06,160.055812176822,160.055808817873,6.93741410652109e-14,0,0
2,20,1.46011402851534,0,-4.8670467617178,1.46011300229859,-4.57214695642162e-08,-4.86704588306418,1,0,-1,1.00000108182367,5.65962953715927e-08,-1.00000053675447,2.46011402851534,0,-5.8670467617178,2.46011408412226,1.08748258073765e-08,-5.86704641981865,5.08134599855344,5.08134486207475,1.35175569508225e-06,1.20898757522917e-06,3.46562294420587e-07,158.552270480637,158.552274717971,3.17722489503035e-13,0,0
3,22,1.79329602038525,0,-5.97765340128416,1.7932958069667,2.07685362250855e-11,-5.97765533728041,1,0,-1,0.999999948011586,3.39852782234463e-09,-0.99999887965288,2.79329602038525,0,-6.97765340128416,2.79329575497829,3.41929635856972e-09,-6.97765421693329,6.24085337134383,6.2408551643666,1.94772404632088e-06,1.12155785156581e-06,8.57750576068359e-07,157.12681325616,157.126816845255,2.98037842685654e-13,0,0
