frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,18,1.10372743949012,0,-3.67909146496708,1.15984826553838,-0.0474975786659147,-3.89259257762612,1,0,-1,0.871914146451678,0.0520567577477947,-0.847818375428041,2.10372743949012,0,-4.67909146496708,2.03176241199005,0.00455917908188001,-4.74041095305416,3.84108425685731,4.0619922445078,0.225805872824671,0.205609189395259,0.0946563833888059,160.055812176822,160.145436525709,1.64864758449405e-13,1,0
2,20,1.46011402851534,0,-4.8670467617178,1.21426715573409,0.0949117215193382,-4.10317923220885,1,0,-1,1.28020886143464,-0.0990463874822501,-1.46285406858663,2.46011402851534,0,-5.8670467617178,2.49447601716874,-0.00413466596291195,-5.56603330079548,5.08134599855344,4.28013233113257,0.808048589118376,0.550055526021672,0.302996609524394,158.552270480637,158.574836145518,5.11306573735372e-09,1,0
3,22,1.79329602038525,0,-5.97765340128416,1.86720922003778,-0.170504216125122,-7.53701068492274,1,0,-1,0.752682035422434,0.239198563801005,-0.221965844490869,2.79329602038525,0,-6.97765340128416,2.61989125546021,0.0686943476758828,-7.75897652941361,6.24085337134383,7.766728527749,1.57039166669848,0.850716918643364,0.80327701103126,157.12681325616,157.122566016462,7.08766130095629e-13,1,0
