frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,12,-0.978820154517849,0,-5.993544845856e-17,-1.02681370647747,-3.79585233423994e-12,-8.47489197881435e-08,-0.6,0,-0.4,-0.579234546713179,-7.56519112126171e-11,-0.396523484921003,-1.57882015451785,0,-0.4,-1.60604825319065,-7.9447763546857e-11,-0.396523569669922,0.978820154517849,1.02681370647747,0.0479935519596927,0.0210544581336503,0.0274491334139251,165.125213594262,165.062032984169,1.60154695125989e-14,0,0
2,17,-6.77900679826268,0,-4.15094448844527e-16,-6.7525067069004,6.78903561928549e-13,2.47781173310758e-05,-0.6,0,-0.4,-0.55714050859145,7.38149941954777e-12,-0.40965069920016,-7.37900679826268,0,-0.4,-7.30964721549185,8.06040298147632e-12,-0.409625921082829,6.77900679826268,6.75250670694586,0.0265001029462888,0.0439325847048808,0.0700243534695993,160.646654718448,161.101450143938,2.63082182396175e-13,0,0
3,21,-10.2593359656953,0,-6.28203147588304e-16,-10.2650037275571,-4.2216352677263e-10,9.29744039034689e-06,-0.6,0,-0.4,-0.556371701201266,-1.1554299878943e-08,-0.407043227704433,-10.8593359656953,0,-0.400000000000001,-10.8213754287584,-1.19764634057156e-08,-0.407033930264042,10.2593359656953,10.2650037275614,0.00566776948762627,0.0441931613778453,0.0386067162485646,157.536008786306,157.769037227906,9.99957556554258e-09,0,5.6843418860808e-14
