frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,18,1.10372743949012,0,-3.67909146496708,1.17574090807285,-0.0446622772664483,-3.94808538994434,1,0,-1,0.870070673519545,0.0489272624304016,-0.684658041546929,2.10372743949012,0,-4.67909146496708,2.04581158159239,0.00426498516395327,-4.63274343149127,3.84108425685731,4.11967712912293,0.282025513637709,0.344551966544405,0.0743005847995393,160.055812176822,162.134672703659,1.33993553607766e-10,0,0
2,20,1.46011402851534,0,-4.8670467617178,1.26849516640925,0.0894021261015601,-4.28759623417727,1,0,-1,1.18891251146322,-0.0929982126234032,-1.54061080427139,2.46011402851534,0,-5.8670467617178,2.45740767787246,-0.00359608652184312,-5.82820703844866,5.08134599855344,4.47219791541991,0.616825293201665,0.580169497848215,0.0390996198919942,158.552270480637,155.797836728738,1.00022657228609e-08,0,0
3,22,1.79329602038525,0,-5.97765340128416,2.25419007947491,-7.79044238322755e-05,-7.51370732483132,1,0,-1,0.384206237702091,0.0457932996953235,-0.0441012518782482,2.79329602038525,0,-6.97765340128416,2.638396317177,0.0457153952714913,-7.55780857670957,6.24085337134383,7.84456312892541,1.60370976046724,1.13799885792681,0.602215777767175,157.12681325616,157.000000316464,3.02370919860957e-09,0,0
