frame,push_mm,true_contact_x_N,true_contact_y_N,true_contact_z_N,estimated_contact_x_N,estimated_contact_y_N,estimated_contact_z_N,true_tip_x_N,true_tip_y_N,true_tip_z_N,estimated_tip_x_N,estimated_tip_y_N,estimated_tip_z_N,true_total_x_N,true_total_y_N,true_total_z_N,estimated_total_x_N,estimated_total_y_N,estimated_total_z_N,true_contact_magnitude_N,estimated_contact_magnitude_N,contact_vector_error_N,tip_vector_error_N,total_vector_error_N,true_contact_s_mm,estimated_contact_s_mm,complementarity_residual,requires_review,truth_penetration_mm
1,12,1.2893358045554,0,-6.06584804733998,1.28933870274528,0,-6.06585891694121,0.5,0,-0.6,0.499995894275918,0,-0.599995213529108,1.7893358045554,0,-6.66584804733998,1.78933459702119,0,-6.66585413047031,6.20136270107843,6.20137393572038,1.12493437724254e-05,6.30612986182941e-06,6.20182340239263e-06,153.579425437459,153.579422667811,2.86412178114279e-13,0,0
2,17,1.84090795109091,0,-8.66079097548057,1.84090821759067,0,-8.66079376799087,0.5,0,-0.6,0.499999307565982,0,-0.599998727831817,2.34090795109091,0,-9.26079097548057,2.34090752515665,0,-9.26079249582268,8.85427819787448,8.85428098477015,2.80519801581792e-06,1.44840490022922e-06,1.57887939542971e-06,150.81130945873,150.81131052003,4.56122514972773e-13,0,0
3,21,2.23572160713182,0,-10.5182431893239,2.23572221569526,0,-10.5182476026254,0.5,0,-0.6,0.499998675094943,0,-0.599997895140717,2.73572160713182,0,-11.1182431893239,2.7357208907902,0,-11.1182454977662,10.7532269991085,10.7532314424962,4.45506226459398e-06,2.48712806475697e-06,2.41703348797233e-06,148.739830622721,148.739831514667,6.68555167648618e-13,0,0
